TRACT,PCSA_City,Ambulatory_Visits_B,Beneficiary_Population
158007,PORT JEFFERSON STATION,323,179
147004,EAST ISLIP,490,68
146605,SMITHTOWN,634,80
123302,AMITYVILLE,717,85
158707,PATCHOGUE,895,120
159512,EAST MORICHES,907,133
146102,BAY SHORE,997,145
146206,EAST ISLIP,1152,148
134903,SMITHTOWN,1169,152
159509,SHIRLEY,1176,174
158506,SMITHTOWN,1260,170
158408,SHOREHAM,1269,171
146403,EAST ISLIP,1350,209
158403,PORT JEFFERSON,1355,192
122403,WYANDANCH,1359,196
145605,BAY SHORE,1378,236
159411,EAST MORICHES,1401,187
146404,EAST ISLIP,1459,217
111504,HUNTINGTON STATION,1465,171
122406,WYANDANCH,1468,263
158705,PORT JEFFERSON,1469,202
122704,DEER PARK,1469,190
146002,BAY SHORE,1485,231
146202,BAY SHORE,1495,259
146706,BABYLON,1571,202
158108,PORT JEFFERSON STATION,1592,201
122405,DEER PARK,1639,252
145901,BAY SHORE,1641,215
145603,BAY SHORE,1686,263
147503,EAST ISLIP,1756,211
158205,PORT JEFFERSON,1781,236
123401,LINDENHURST,1794,235
134704,SMITHTOWN,1806,276
158710,SHOREHAM,1813,271
146704,BAY SHORE,1823,193
111401,HUNTINGTON STATION,1827,216
146001,BAY SHORE,1827,254
146205,BAY SHORE,1865,221
159106,PATCHOGUE,1881,321
146201,BAY SHORE,1916,264
158708,PORT JEFFERSON,1931,264
159408,SHIRLEY,1979,280
146203,BAY SHORE,1982,351
122404,WEST BABYLON,1985,243
112104,HUNTINGTON STATION,2003,279
145602,BAY SHORE,2006,302
146204,BAY SHORE,2024,315
146608,WEST SAYVILLE,2049,243
158103,PORT JEFFERSON STATION,2071,279
158509,PORT JEFFERSON STATION,2104,331
158401,SHOREHAM,2154,293
122300,MASSAPEQUA,2160,263
146611,PATCHOGUE,2162,254
159201,PATCHOGUE,2172,254
158507,PORT JEFFERSON STATION,2172,290
145808,SMITHTOWN,2173,290
124402,LINDENHURST,2217,260
169703,RIVERHEAD,2225,272
158607,PATCHOGUE,2228,283
145703,BAY SHORE,2280,312
124002,LINDENHURST,2286,302
158110,PORT JEFFERSON STATION,2294,272
111001,HUNTINGTON,2310,285
146607,EAST ISLIP,2313,270
145804,SMITHTOWN,2333,321
158512,SMITHTOWN,2339,285
201100,BAY SHORE,2340,365
145702,BAY SHORE,2346,329
123201,AMITYVILLE,2367,252
158709,SHOREHAM,2370,297
158116,PORT JEFFERSON STATION,2379,284
147601,EAST ISLIP,2391,329
111201,HUNTINGTON STATION,2409,276
122501,WYANDANCH,2409,324
158009,PORT JEFFERSON STATION,2443,286
146703,BAY SHORE,2445,309
145902,BAY SHORE,2465,321
158203,PORT JEFFERSON STATION,2472,373
159000,PATCHOGUE,2485,322
158407,PORT JEFFERSON,2489,346
135403,SMITHTOWN,2512,341
122705,DEER PARK,2530,310
159103,PATCHOGUE,2555,297
122707,DEER PARK,2556,287
190504,WESTHAMPTON BEACH,2599,315
123802,AMITYVILLE,2629,313
123701,AMITYVILLE,2649,430
111804,EAST NORTHPORT,2652,269
122502,BABYLON,2656,330
159407,EAST MORICHES,2667,382
159511,SHIRLEY,2675,357
135201,SMITHTOWN,2742,298
158608,SMITHTOWN,2771,361
111506,HUNTINGTON STATION,2812,366
124601,BABYLON,2817,295
158320,PORT JEFFERSON STATION,2839,392
158309,PORT JEFFERSON,2855,404
147701,WEST SAYVILLE,2864,442
110801,NORTHPORT,2887,372
158318,PORT JEFFERSON,2895,362
111602,NORTHPORT,2901,367
146604,SMITHTOWN,2902,398
