TRACT,PCSA_City,Beneficiary_Population,Emergency_Visits_B
147004,EAST ISLIP,68,26
146605,SMITHTOWN,80,31
158707,PATCHOGUE,120,37
123302,AMITYVILLE,85,49
146206,EAST ISLIP,148,50
159512,EAST MORICHES,133,53
146102,BAY SHORE,145,55
158506,SMITHTOWN,170,58
134903,SMITHTOWN,152,59
146608,WEST SAYVILLE,243,62
158108,PORT JEFFERSON STATION,201,62
122704,DEER PARK,190,69
159411,EAST MORICHES,187,70
146706,BABYLON,202,71
111504,HUNTINGTON STATION,171,72
146611,PATCHOGUE,254,77
159509,SHIRLEY,174,79
158205,PORT JEFFERSON,236,79
145901,BAY SHORE,215,80
158512,SMITHTOWN,285,80
123401,LINDENHURST,235,80
146205,BAY SHORE,221,84
147503,EAST ISLIP,211,86
146704,BAY SHORE,193,87
158403,PORT JEFFERSON,192,88
146404,EAST ISLIP,217,90
112104,HUNTINGTON STATION,279,91
124002,LINDENHURST,302,92
158203,PORT JEFFERSON STATION,373,92
122404,WEST BABYLON,243,95
122707,DEER PARK,287,96
190504,WESTHAMPTON BEACH,315,98
147601,EAST ISLIP,329,99
111804,EAST NORTHPORT,269,99
159201,PATCHOGUE,254,99
146002,BAY SHORE,231,99
122300,MASSAPEQUA,263,99
111001,HUNTINGTON,285,100
158408,SHOREHAM,171,101
146403,EAST ISLIP,209,102
169703,RIVERHEAD,272,103
158110,PORT JEFFERSON STATION,272,104
111401,HUNTINGTON STATION,216,105
122405,DEER PARK,252,106
146607,EAST ISLIP,270,109
145603,BAY SHORE,263,110
135403,SMITHTOWN,341,111
134704,SMITHTOWN,276,112
146202,BAY SHORE,259,114
122406,WYANDANCH,263,114
146001,BAY SHORE,254,116
122403,WYANDANCH,196,117
145702,BAY SHORE,329,117
145808,SMITHTOWN,290,118
158705,PORT JEFFERSON,202,119
145605,BAY SHORE,236,121
145602,BAY SHORE,302,121
146613,SMITHTOWN,394,121
111602,NORTHPORT,367,121
146203,BAY SHORE,351,122
158709,SHOREHAM,297,123
158507,PORT JEFFERSON STATION,290,123
159000,PATCHOGUE,322,126
158402,SHOREHAM,416,126
123102,BABYLON,363,126
158009,PORT JEFFERSON STATION,286,127
123201,AMITYVILLE,252,127
122705,DEER PARK,310,128
158509,PORT JEFFERSON STATION,331,128
146402,EAST ISLIP,403,128
146201,BAY SHORE,264,128
146103,BAY SHORE,385,130
135201,SMITHTOWN,298,131
123802,AMITYVILLE,313,131
110101,HUNTINGTON,490,131
158318,PORT JEFFERSON,362,132
112212,HUNTINGTON STATION,451,132
146703,BAY SHORE,309,134
158401,SHOREHAM,293,135
158607,PATCHOGUE,283,136
145807,SMITHTOWN,441,136
124601,BABYLON,295,136
124402,LINDENHURST,260,137
147001,BAY SHORE,380,138
111803,EAST NORTHPORT,371,139
158605,PORT JEFFERSON STATION,459,139
159103,PATCHOGUE,297,142
111201,HUNTINGTON STATION,276,142
124001,LINDENHURST,389,143
124101,LINDENHURST,394,143
122901,WEST BABYLON,426,144
158010,PORT JEFFERSON STATION,441,145
159407,EAST MORICHES,382,147
158708,PORT JEFFERSON,264,147
159511,SHIRLEY,357,147
146612,SMITHTOWN,505,148
158103,PORT JEFFERSON STATION,279,148
146604,SMITHTOWN,398,150
123701,AMITYVILLE,430,150
158116,PORT JEFFERSON STATION,284,151
158405,SHOREHAM,482,152
110801,NORTHPORT,372,152
158320,PORT JEFFERSON STATION,392,153
111506,HUNTINGTON STATION,366,154
146204,BAY SHORE,315,155
122706,DEER PARK,374,156
158710,SHOREHAM,271,157
110901,HUNTINGTON,380,157
135101,SMITHTOWN,463,157
147100,BAY SHORE,381,158
158322,PORT JEFFERSON,440,158
145703,BAY SHORE,312,158
158508,PORT JEFFERSON STATION,533,159
134703,NORTHPORT,561,160
135103,SMITHTOWN,508,160
145902,BAY SHORE,321,160
135004,SMITHTOWN,513,161
146615,PATCHOGUE,439,162
122502,BABYLON,330,163
110502,HUNTINGTON,395,163
158609,SMITHTOWN,371,163
158804,PATCHOGUE,493,163
112211,SMITHTOWN,581,163
159408,SHIRLEY,280,164
158309,PORT JEFFERSON,404,164
158608,SMITHTOWN,361,165
111802,EAST NORTHPORT,472,166
159300,PATCHOGUE,520,167
145804,SMITHTOWN,321,167
145903,BAY SHORE,420,167
123002,WEST BABYLON,424,168
158407,PORT JEFFERSON,346,169
190402,WESTHAMPTON BEACH,377,170
190705,SOUTHAMPTON,388,171
146300,EAST ISLIP,322,171
124200,LINDENHURST,612,173
170101,GREENPORT,338,176
124500,BABYLON,478,176
159107,PATCHOGUE,405,177
135303,SMITHTOWN,422,177
146105,BAY SHORE,376,179
123900,LINDENHURST,424,181
159602,EAST MORICHES,548,182
122602,DEER PARK,486,183
147902,BAYPORT,516,183
123101,BABYLON,426,183
112204,HUNTINGTON STATION,538,183
135301,SMITHTOWN,508,185
124602,BABYLON,507,185
146705,BABYLON,394,186
158107,PORT JEFFERSON STATION,584,186
159404,SHIRLEY,428,187
158505,SMITHTOWN,478,190
111202,HUNTINGTON STATION,452,190
158604,SMITHTOWN,453,190
159505,SHIRLEY,504,191
111704,EAST NORTHPORT,549,191
147402,BAY SHORE,464,191
135208,SMITHTOWN,522,192
158007,PORT JEFFERSON STATION,179,192
158102,PORT JEFFERSON STATION,476,192
134902,SMITHTOWN,572,193
190503,WESTHAMPTON BEACH,537,194
122802,DEER PARK,380,194
135003,SMITHTOWN,535,195
111703,NORTHPORT,468,197
110402,HUNTINGTON,414,197
111601,NORTHPORT,448,198
