TRACT,PCSA_City,Percent_Having_Emergency_Visit
134703,NORTHPORT,18.7629
134903,SMITHTOWN,18.9394
158512,SMITHTOWN,19.1235
158203,PORT JEFFERSON STATION,19.4268
135403,SMITHTOWN,19.5876
122704,DEER PARK,19.7605
112211,SMITHTOWN,19.7628
112212,HUNTINGTON STATION,20.0
146206,EAST ISLIP,20.1613
158508,PORT JEFFERSON STATION,20.2198
158707,PATCHOGUE,20.3883
112204,HUNTINGTON STATION,20.4167
158304,PORT JEFFERSON,20.5345
146608,WEST SAYVILLE,20.6573
146612,SMITHTOWN,20.7059
158010,PORT JEFFERSON STATION,20.7349
111804,EAST NORTHPORT,20.9677
145807,SMITHTOWN,21.0667
146611,PATCHOGUE,21.0762
159300,PATCHOGUE,21.2719
147902,BAYPORT,21.2766
158107,PORT JEFFERSON STATION,21.3611
135004,SMITHTOWN,21.3636
190704,SOUTHAMPTON,21.5837
123401,LINDENHURST,21.608
159602,EAST MORICHES,21.748
158405,SHOREHAM,21.7918
146614,SMITHTOWN,21.8094
158605,PORT JEFFERSON STATION,21.8362
110501,HUNTINGTON,21.8673
147601,EAST ISLIP,21.875
110101,HUNTINGTON,21.9072
190504,WESTHAMPTON BEACH,21.9424
135003,SMITHTOWN,21.9917
124002,LINDENHURST,22.0149
135402,SMITHTOWN,22.0363
135103,SMITHTOWN,22.093
158108,PORT JEFFERSON STATION,22.093
190503,WESTHAMPTON BEACH,22.1095
110502,HUNTINGTON,22.1239
147901,BAYPORT,22.1601
158402,SHOREHAM,22.2527
112104,HUNTINGTON STATION,22.2689
146402,EAST ISLIP,22.3164
112214,HUNTINGTON STATION,22.4304
111602,NORTHPORT,22.5
124200,LINDENHURST,22.5049
135101,SMITHTOWN,22.7384
158509,PORT JEFFERSON STATION,22.7437
111300,HUNTINGTON,22.7979
134902,SMITHTOWN,22.8175
200901,EAST HAMPTON,22.8448
122901,WEST BABYLON,22.8883
158802,PATCHOGUE,22.9391
201001,EAST HAMPTON,22.9885
147401,BAY SHORE,22.9927
147003,BAY SHORE,23.0053
190601,HAMPTON BAYS,23.115
124001,LINDENHURST,23.1231
158002,PORT JEFFERSON STATION,23.1618
123001,WEST BABYLON,23.1626
147402,BAY SHORE,23.2099
158318,PORT JEFFERSON,23.2198
110803,NORTHPORT,23.2819
147802,WEST SAYVILLE,23.4216
158506,SMITHTOWN,23.4848
124101,LINDENHURST,23.494
122602,DEER PARK,23.516
111704,EAST NORTHPORT,23.5174
110600,NORTHPORT,23.5658
134907,SMITHTOWN,23.6328
124500,BABYLON,23.6407
111601,NORTHPORT,23.6908
135002,SMITHTOWN,23.7452
147100,BAY SHORE,23.7537
169701,CALVERTON,23.7624
158322,PORT JEFFERSON,23.7864
135208,SMITHTOWN,23.7991
170001,MATTITUCK,23.8
158804,PATCHOGUE,23.8202
146704,BAY SHORE,23.8636
158604,SMITHTOWN,23.8663
111505,HUNTINGTON STATION,23.9203
146205,BAY SHORE,24.0
135204,SMITHTOWN,24.0072
135209,SMITHTOWN,24.0088
169902,MATTITUCK,24.0217
112213,HUNTINGTON STATION,24.0506
111803,EAST NORTHPORT,24.0625
111402,HUNTINGTON STATION,24.0678
190707,SOUTHAMPTON,24.1275
145808,SMITHTOWN,24.1525
201003,EAST HAMPTON,24.2276
123600,AMITYVILLE,24.3021
146901,BABYLON,24.3408
110300,HUNTINGTON,24.4041
146613,SMITHTOWN,24.4118
122404,WEST BABYLON,24.4131
135104,SMITHTOWN,24.4259
159505,SHIRLEY,24.4292
122705,DEER PARK,24.4444
123702,AMITYVILLE,24.4698
122707,DEER PARK,24.498
158505,SMITHTOWN,24.5283
135301,SMITHTOWN,24.5536
111802,EAST NORTHPORT,24.5742
110402,HUNTINGTON,24.5902
