TRACT,PCSA_City,Primary_Care_Visits_B,Beneficiary_Population
158007,PORT JEFFERSON STATION,73,179
147004,EAST ISLIP,219,68
146605,SMITHTOWN,322,80
123302,AMITYVILLE,401,85
158707,PATCHOGUE,424,120
159512,EAST MORICHES,425,133
111504,HUNTINGTON STATION,477,171
146102,BAY SHORE,500,145
111401,HUNTINGTON STATION,511,216
146206,EAST ISLIP,519,148
158408,SHOREHAM,524,171
159509,SHIRLEY,530,174
158506,SMITHTOWN,544,170
134903,SMITHTOWN,550,152
112104,HUNTINGTON STATION,573,279
111001,HUNTINGTON,587,285
158403,PORT JEFFERSON,646,192
159411,EAST MORICHES,646,187
122704,DEER PARK,651,190
158705,PORT JEFFERSON,652,202
122403,WYANDANCH,660,196
158108,PORT JEFFERSON STATION,661,201
145605,BAY SHORE,681,236
134704,SMITHTOWN,701,276
146404,EAST ISLIP,712,217
146202,BAY SHORE,721,259
158205,PORT JEFFERSON,739,236
123401,LINDENHURST,748,235
111201,HUNTINGTON STATION,766,276
159106,PATCHOGUE,776,321
122405,DEER PARK,782,252
146403,EAST ISLIP,788,209
158708,PORT JEFFERSON,793,264
146704,BAY SHORE,811,193
147503,EAST ISLIP,832,211
146706,BABYLON,838,202
158710,SHOREHAM,840,271
146205,BAY SHORE,845,221
110101,HUNTINGTON,848,490
146002,BAY SHORE,853,231
110801,NORTHPORT,858,372
159408,SHIRLEY,867,280
122406,WYANDANCH,872,263
110502,HUNTINGTON,874,395
122404,WEST BABYLON,876,243
122300,MASSAPEQUA,879,263
123201,AMITYVILLE,882,252
145901,BAY SHORE,901,215
110901,HUNTINGTON,903,380
145603,BAY SHORE,907,263
158512,SMITHTOWN,914,285
111506,HUNTINGTON STATION,941,366
158110,PORT JEFFERSON STATION,960,272
146608,WEST SAYVILLE,961,243
111602,NORTHPORT,963,367
124402,LINDENHURST,973,260
158103,PORT JEFFERSON STATION,977,279
146611,PATCHOGUE,978,254
169703,RIVERHEAD,978,272
124002,LINDENHURST,979,302
146201,BAY SHORE,984,264
146001,BAY SHORE,984,254
158009,PORT JEFFERSON STATION,989,286
159201,PATCHOGUE,991,254
158203,PORT JEFFERSON STATION,997,373
158507,PORT JEFFERSON STATION,1000,290
158401,SHOREHAM,1020,293
190504,WESTHAMPTON BEACH,1025,315
146203,BAY SHORE,1035,351
145808,SMITHTOWN,1050,290
147601,EAST ISLIP,1057,329
145804,SMITHTOWN,1057,321
158116,PORT JEFFERSON STATION,1060,284
158509,PORT JEFFERSON STATION,1065,331
145602,BAY SHORE,1066,302
111804,EAST NORTHPORT,1069,269
112212,HUNTINGTON STATION,1073,451
158709,SHOREHAM,1088,297
146607,EAST ISLIP,1092,270
158607,PATCHOGUE,1095,283
135201,SMITHTOWN,1110,298
110401,HUNTINGTON,1112,484
122707,DEER PARK,1113,287
111803,EAST NORTHPORT,1118,371
110501,HUNTINGTON,1123,467
158407,PORT JEFFERSON,1124,346
201100,BAY SHORE,1125,365
159407,EAST MORICHES,1139,382
159000,PATCHOGUE,1147,322
123802,AMITYVILLE,1154,313
146204,BAY SHORE,1156,315
110402,HUNTINGTON,1157,414
135403,SMITHTOWN,1159,341
159103,PATCHOGUE,1167,297
122705,DEER PARK,1182,310
111202,HUNTINGTON STATION,1183,452
158320,PORT JEFFERSON STATION,1191,392
190402,WESTHAMPTON BEACH,1193,377
110902,HUNTINGTON STATION,1208,427
159511,SHIRLEY,1213,357
145702,BAY SHORE,1231,329
111002,HUNTINGTON STATION,1238,406
145703,BAY SHORE,1243,312
158319,PORT JEFFERSON STATION,1251,522
111802,EAST NORTHPORT,1253,472
146703,BAY SHORE,1254,309
158318,PORT JEFFERSON,1259,362
145902,BAY SHORE,1277,321
170101,GREENPORT,1280,338
122502,BABYLON,1282,330
146300,EAST ISLIP,1284,322
158309,PORT JEFFERSON,1286,404
124601,BABYLON,1286,295
111703,NORTHPORT,1312,468
158608,SMITHTOWN,1315,361
158010,PORT JEFFERSON STATION,1321,441
111601,NORTHPORT,1335,448
111100,HUNTINGTON STATION,1338,530
122501,WYANDANCH,1358,324
146604,SMITHTOWN,1366,398
147701,WEST SAYVILLE,1375,442
146106,BAY SHORE,1376,596
123701,AMITYVILLE,1377,430
190705,SOUTHAMPTON,1379,388
159204,PATCHOGUE,1381,546
158402,SHOREHAM,1383,416
112213,HUNTINGTON STATION,1384,560
146613,SMITHTOWN,1390,394
147001,BAY SHORE,1400,380
159404,SHIRLEY,1419,428
124101,LINDENHURST,1425,394
159107,PATCHOGUE,1427,405
135303,SMITHTOWN,1430,422
112204,HUNTINGTON STATION,1432,538
123102,BABYLON,1448,363
158112,PORT JEFFERSON STATION,1456,426
158609,SMITHTOWN,1456,371
111300,HUNTINGTON,1458,678
134703,NORTHPORT,1473,561
147100,BAY SHORE,1480,381
146902,BAY SHORE,1482,598
146705,BABYLON,1486,394
122706,DEER PARK,1502,374
158510,PORT JEFFERSON STATION,1511,466
146103,BAY SHORE,1524,385
112211,SMITHTOWN,1524,581
158317,PORT JEFFERSON,1531,488
123002,WEST BABYLON,1532,424
145903,BAY SHORE,1538,420
122802,DEER PARK,1540,380
158606,PORT JEFFERSON STATION,1548,530
123900,LINDENHURST,1555,424
124001,LINDENHURST,1574,389
145807,SMITHTOWN,1574,441
145704,BAY SHORE,1575,495
110102,HUNTINGTON,1577,728
146615,PATCHOGUE,1578,439
158405,SHOREHAM,1578,482
147402,BAY SHORE,1579,464
135101,SMITHTOWN,1592,463
158111,PORT JEFFERSON STATION,1599,420
158315,PORT JEFFERSON,1614,504
112001,HUNTINGTON STATION,1615,537
122901,WEST BABYLON,1626,426
159505,SHIRLEY,1632,504
158803,PATCHOGUE,1639,541
111402,HUNTINGTON STATION,1650,669
158605,PORT JEFFERSON STATION,1662,459
112102,HUNTINGTON STATION,1684,723
158011,PORT JEFFERSON STATION,1684,535
123801,AMITYVILLE,1691,514
111701,NORTHPORT,1694,688
159508,SHIRLEY,1707,486
158604,SMITHTOWN,1713,453
145701,SMITHTOWN,1724,528
159506,SHIRLEY,1725,509
124102,LINDENHURST,1737,452
146105,BAY SHORE,1742,376
123301,AMITYVILLE,1744,494
158511,PORT JEFFERSON STATION,1749,505
123101,BABYLON,1749,426
124500,BABYLON,1753,478
124602,BABYLON,1760,507
111704,EAST NORTHPORT,1768,549
135004,SMITHTOWN,1770,513
124401,BABYLON,1774,543
111505,HUNTINGTON STATION,1785,677
135102,SMITHTOWN,1789,560
147802,WEST SAYVILLE,1795,542
135103,SMITHTOWN,1817,508
158505,SMITHTOWN,1826,478
146402,EAST ISLIP,1834,403
158804,PATCHOGUE,1835,493
135301,SMITHTOWN,1836,508
158322,PORT JEFFERSON,1836,440
158102,PORT JEFFERSON STATION,1843,476
158508,PORT JEFFERSON STATION,1875,533
135304,SMITHTOWN,1895,501
158206,PORT JEFFERSON,1906,630
145604,BAY SHORE,1914,537
159300,PATCHOGUE,1929,520
147902,BAYPORT,1933,516
