TRACT,PCSA_City,Percent_Having_Ambulatory_Visit
158007,PORT JEFFERSON STATION,46.2963
145605,BAY SHORE,73.2673
159106,PATCHOGUE,74.4526
146902,BAY SHORE,75.4319
146106,BAY SHORE,76.8519
124401,BABYLON,76.8737
123701,AMITYVILLE,77.1772
158712,PATCHOGUE,77.8614
158606,PORT JEFFERSON STATION,78.1938
122501,WYANDANCH,78.3394
159509,SHIRLEY,78.3439
146204,BAY SHORE,78.4091
147701,WEST SAYVILLE,78.481
159404,SHIRLEY,78.5908
122502,BABYLON,78.9116
123301,AMITYVILLE,79.4258
122406,WYANDANCH,79.8206
159511,SHIRLEY,79.9331
146201,BAY SHORE,80.0
159408,SHIRLEY,80.1688
145704,BAY SHORE,80.2956
158403,PORT JEFFERSON,80.7229
146001,BAY SHORE,80.7339
158509,PORT JEFFERSON STATION,80.8664
145804,SMITHTOWN,80.9524
124300,WEST BABYLON,81.0555
159204,PATCHOGUE,81.2627
158319,PORT JEFFERSON STATION,81.3305
158408,SHOREHAM,81.7568
158309,PORT JEFFERSON,81.9767
145603,BAY SHORE,82.0628
190402,WESTHAMPTON BEACH,82.0809
147802,WEST SAYVILLE,82.2811
112103,SMITHTOWN,82.3613
122403,WYANDANCH,82.4859
134904,SMITHTOWN,82.5223
146003,BAY SHORE,82.622
201100,BAY SHORE,82.7362
159107,PATCHOGUE,82.7586
146404,EAST ISLIP,82.7957
123500,AMITYVILLE,83.0838
135005,SMITHTOWN,83.0986
159506,SHIRLEY,83.1797
123702,AMITYVILLE,83.1974
145903,BAY SHORE,83.4711
145702,BAY SHORE,83.5714
146203,BAY SHORE,83.7209
124101,LINDENHURST,83.7349
146102,BAY SHORE,83.7398
122902,WEST BABYLON,83.7553
146403,EAST ISLIP,83.908
159407,EAST MORICHES,83.9228
123002,WEST BABYLON,84.0108
146605,SMITHTOWN,84.058
158803,PATCHOGUE,84.2213
146202,BAY SHORE,84.3318
158510,PORT JEFFERSON STATION,84.3342
145703,BAY SHORE,84.3416
145602,BAY SHORE,84.3511
190706,SOUTHAMPTON,84.4156
123401,LINDENHURST,84.4221
