TRACT,PCSA_City,All_Beneficiary_Deaths,Beneficiary_Population,Beneficiary_Deaths_Per_Capita
110200,HUNTINGTON,20,854,0.0234192037471
158107,PORT JEFFERSON STATION,15,584,0.0256849315068
134703,NORTHPORT,15,561,0.0267379679144
190704,SOUTHAMPTON,23,859,0.0267753201397
110401,HUNTINGTON,13,484,0.0268595041322
190707,SOUTHAMPTON,20,705,0.0283687943262
180300,SHELTER ISLAND,21,690,0.0304347826087
158002,PORT JEFFERSON STATION,31,1005,0.0308457711443
112210,SMITHTOWN,26,840,0.0309523809524
111202,HUNTINGTON STATION,14,452,0.0309734513274
111505,HUNTINGTON STATION,21,677,0.0310192023634
111402,HUNTINGTON STATION,21,669,0.0313901345291
110102,HUNTINGTON,23,728,0.0315934065934
112204,HUNTINGTON STATION,17,538,0.0315985130112
110600,NORTHPORT,42,1329,0.0316027088036
158315,PORT JEFFERSON,16,504,0.031746031746
158011,PORT JEFFERSON STATION,17,535,0.0317757009346
158322,PORT JEFFERSON,14,440,0.0318181818182
111703,NORTHPORT,15,468,0.0320512820513
159602,EAST MORICHES,18,548,0.0328467153285
147902,BAYPORT,17,516,0.0329457364341
158405,SHOREHAM,16,482,0.0331950207469
124500,BABYLON,16,478,0.0334728033473
111802,EAST NORTHPORT,16,472,0.0338983050847
112213,HUNTINGTON STATION,19,560,0.0339285714286
159407,EAST MORICHES,13,382,0.0340314136126
111801,EAST NORTHPORT,32,920,0.0347826086957
158304,PORT JEFFERSON,28,801,0.0349563046192
158604,SMITHTOWN,16,453,0.0353200883002
145604,BAY SHORE,19,537,0.0353817504655
112212,HUNTINGTON STATION,16,451,0.0354767184035
158505,SMITHTOWN,17,478,0.0355648535565
135402,SMITHTOWN,29,814,0.0356265356265
158114,PORT JEFFERSON STATION,20,561,0.0356506238859
201003,EAST HAMPTON,24,673,0.035661218425
110402,HUNTINGTON,15,414,0.036231884058
158207,PORT JEFFERSON,30,828,0.036231884058
158010,PORT JEFFERSON STATION,16,441,0.0362811791383
146614,SMITHTOWN,26,713,0.0364656381487
158804,PATCHOGUE,18,493,0.0365111561866
110101,HUNTINGTON,18,490,0.0367346938776
112214,HUNTINGTON STATION,72,1955,0.0368286445013
159107,PATCHOGUE,15,405,0.037037037037
158709,SHOREHAM,11,297,0.037037037037
135103,SMITHTOWN,19,508,0.0374015748031
158203,PORT JEFFERSON STATION,14,373,0.0375335120643
190502,WESTHAMPTON BEACH,19,505,0.0376237623762
147003,BAY SHORE,31,822,0.0377128953771
190800,SOUTHAMPTON,38,996,0.0381526104418
158306,PORT JEFFERSON,33,858,0.0384615384615
111001,HUNTINGTON,11,285,0.0385964912281
201004,MONTAUK,30,775,0.0387096774194
190503,WESTHAMPTON BEACH,21,537,0.0391061452514
111002,HUNTINGTON STATION,16,406,0.0394088669951
111300,HUNTINGTON,27,678,0.0398230088496
110803,NORTHPORT,32,803,0.0398505603985
111704,EAST NORTHPORT,22,549,0.040072859745
169701,CALVERTON,36,896,0.0401785714286
111900,HUNTINGTON,34,841,0.0404280618312
170002,SOUTHOLD,43,1062,0.0404896421846
110501,HUNTINGTON,19,467,0.0406852248394
135004,SMITHTOWN,21,513,0.0409356725146
123600,AMITYVILLE,29,708,0.0409604519774
111506,HUNTINGTON STATION,15,366,0.0409836065574
169800,RIVERHEAD,30,724,0.0414364640884
146612,SMITHTOWN,21,505,0.0415841584158
135204,SMITHTOWN,26,624,0.0416666666667
190601,HAMPTON BAYS,37,884,0.0418552036199
158006,PORT JEFFERSON STATION,49,1166,0.0420240137221
135208,SMITHTOWN,22,522,0.0421455938697
158001,PORT JEFFERSON STATION,29,688,0.0421511627907
158509,PORT JEFFERSON STATION,14,331,0.0422960725076
145704,BAY SHORE,21,495,0.0424242424242
122502,BABYLON,14,330,0.0424242424242
158202,PORT JEFFERSON,40,942,0.0424628450106
190708,EAST HAMPTON,32,746,0.0428954423592
110801,NORTHPORT,16,372,0.0430107526882
124002,LINDENHURST,13,302,0.0430463576159
145803,SMITHTOWN,36,832,0.0432692307692
135209,SMITHTOWN,22,508,0.0433070866142
158320,PORT JEFFERSON STATION,17,392,0.0433673469388
111201,HUNTINGTON STATION,12,276,0.0434782608696
135205,SMITHTOWN,33,759,0.0434782608696
159000,PATCHOGUE,14,322,0.0434782608696
146300,EAST ISLIP,14,322,0.0434782608696
123201,AMITYVILLE,11,252,0.0436507936508
200902,EAST HAMPTON,41,935,0.0438502673797
135403,SMITHTOWN,15,341,0.0439882697947
158110,PORT JEFFERSON STATION,12,272,0.0441176470588
159410,RIVERHEAD,33,747,0.0441767068273
158704,PORT JEFFERSON,46,1041,0.0441882804995
