TRACT,PCSA_City,All_Discharges,Beneficiary_Population,Discharges_PC
147004,EAST ISLIP,18,68,0.2647058824
146605,SMITHTOWN,23,80,0.2875
123302,AMITYVILLE,26,85,0.3058823529
146206,EAST ISLIP,33,148,0.222972973
146102,BAY SHORE,36,145,0.2482758621
158707,PATCHOGUE,38,120,0.3166666667
159512,EAST MORICHES,41,133,0.3082706767
145901,BAY SHORE,45,215,0.2093023256
111504,HUNTINGTON STATION,47,171,0.2748538012
147503,EAST ISLIP,48,211,0.2274881517
158506,SMITHTOWN,53,170,0.3117647059
146706,BABYLON,53,202,0.2623762376
158108,PORT JEFFERSON STATION,53,201,0.263681592
122405,DEER PARK,53,252,0.2103174603
146403,EAST ISLIP,56,209,0.2679425837
124002,LINDENHURST,57,302,0.1887417219
158403,PORT JEFFERSON,57,192,0.296875
134903,SMITHTOWN,58,152,0.3815789474
169703,RIVERHEAD,60,272,0.2205882353
146205,BAY SHORE,60,221,0.2714932127
122704,DEER PARK,62,190,0.3263157895
145605,BAY SHORE,63,236,0.2669491525
146704,BAY SHORE,63,193,0.3264248705
159509,SHIRLEY,64,174,0.367816092
146404,EAST ISLIP,65,217,0.2995391705
146608,WEST SAYVILLE,65,243,0.2674897119
158205,PORT JEFFERSON,66,236,0.2796610169
122403,WYANDANCH,66,196,0.3367346939
146202,BAY SHORE,67,259,0.2586872587
159411,EAST MORICHES,67,187,0.3582887701
146611,PATCHOGUE,70,254,0.2755905512
190504,WESTHAMPTON BEACH,70,315,0.2222222222
122404,WEST BABYLON,71,243,0.29218107
147601,EAST ISLIP,71,329,0.2158054711
158203,PORT JEFFERSON STATION,72,373,0.1930294906
111001,HUNTINGTON,73,285,0.2561403509
146002,BAY SHORE,73,231,0.316017316
158408,SHOREHAM,74,171,0.432748538
123401,LINDENHURST,74,235,0.314893617
146201,BAY SHORE,74,264,0.2803030303
145603,BAY SHORE,74,263,0.2813688213
158512,SMITHTOWN,75,285,0.2631578947
122406,WYANDANCH,75,263,0.2851711027
146001,BAY SHORE,76,254,0.2992125984
158110,PORT JEFFERSON STATION,78,272,0.2867647059
158509,PORT JEFFERSON STATION,79,331,0.2386706949
146607,EAST ISLIP,79,270,0.2925925926
146203,BAY SHORE,81,351,0.2307692308
122705,DEER PARK,81,310,0.2612903226
145602,BAY SHORE,81,302,0.2682119205
112104,HUNTINGTON STATION,81,279,0.2903225806
111401,HUNTINGTON STATION,81,216,0.375
123201,AMITYVILLE,82,252,0.3253968254
145902,BAY SHORE,82,321,0.2554517134
158009,PORT JEFFERSON STATION,83,286,0.2902097902
122300,MASSAPEQUA,83,263,0.3155893536
158402,SHOREHAM,84,416,0.2019230769
159201,PATCHOGUE,85,254,0.3346456693
145702,BAY SHORE,87,329,0.26443769
124402,LINDENHURST,87,260,0.3346153846
158507,PORT JEFFERSON STATION,87,290,0.3
146703,BAY SHORE,89,309,0.28802589
122502,BABYLON,90,330,0.2727272727
124601,BABYLON,90,295,0.3050847458
158318,PORT JEFFERSON,91,362,0.2513812155
111602,NORTHPORT,91,367,0.2479564033
158705,PORT JEFFERSON,91,202,0.4504950495
146300,EAST ISLIP,91,322,0.2826086957
111804,EAST NORTHPORT,92,269,0.3420074349
135403,SMITHTOWN,92,341,0.2697947214
124101,LINDENHURST,93,394,0.2360406091
146204,BAY SHORE,94,315,0.2984126984
145808,SMITHTOWN,94,290,0.324137931
135201,SMITHTOWN,95,298,0.3187919463
122706,DEER PARK,96,374,0.256684492
122707,DEER PARK,96,287,0.3344947735
134704,SMITHTOWN,98,276,0.3550724638
190705,SOUTHAMPTON,100,388,0.2577319588
159000,PATCHOGUE,101,322,0.3136645963
111506,HUNTINGTON STATION,101,366,0.2759562842
158709,SHOREHAM,102,297,0.3434343434
158010,PORT JEFFERSON STATION,103,441,0.2335600907
145903,BAY SHORE,104,420,0.2476190476
111803,EAST NORTHPORT,104,371,0.2803234501
170101,GREENPORT,105,338,0.3106508876
158116,PORT JEFFERSON STATION,106,284,0.3732394366
147402,BAY SHORE,107,464,0.2306034483
201100,BAY SHORE,108,365,0.295890411
146604,SMITHTOWN,108,398,0.2713567839
122501,WYANDANCH,109,324,0.3364197531
146402,EAST ISLIP,109,403,0.270471464
147001,BAY SHORE,110,380,0.2894736842
146105,BAY SHORE,111,376,0.295212766
145703,BAY SHORE,111,312,0.3557692308
158607,PATCHOGUE,111,283,0.3922261484
158007,PORT JEFFERSON STATION,111,179,0.6201117318
135004,SMITHTOWN,112,513,0.2183235867
110502,HUNTINGTON,112,395,0.2835443038
147100,BAY SHORE,112,381,0.2939632546
112212,HUNTINGTON STATION,113,451,0.2505543237
123701,AMITYVILLE,113,430,0.2627906977
124001,LINDENHURST,113,389,0.2904884319
158405,SHOREHAM,113,482,0.234439834
190402,WESTHAMPTON BEACH,113,377,0.299734748
158710,SHOREHAM,115,271,0.4243542435
111201,HUNTINGTON STATION,116,276,0.4202898551
146103,BAY SHORE,117,385,0.3038961039
145804,SMITHTOWN,117,321,0.3644859813
123101,BABYLON,118,426,0.2769953052
158103,PORT JEFFERSON STATION,120,279,0.4301075269
110801,NORTHPORT,120,372,0.3225806452
110901,HUNTINGTON,121,380,0.3184210526
158609,SMITHTOWN,121,371,0.3261455526
122901,WEST BABYLON,122,426,0.2863849765
123102,BABYLON,122,363,0.3360881543
124500,BABYLON,123,478,0.2573221757
123002,WEST BABYLON,124,424,0.2924528302
158322,PORT JEFFERSON,124,440,0.2818181818
159407,EAST MORICHES,125,382,0.3272251309
110402,HUNTINGTON,125,414,0.3019323671
158708,PORT JEFFERSON,126,264,0.4772727273
146613,SMITHTOWN,128,394,0.3248730964
