TRACT,PCSA_City,All_Medical_Discharges,Beneficiary_Population
146605,SMITHTOWN,15,80
147004,EAST ISLIP,16,68
123302,AMITYVILLE,21,85
146206,EAST ISLIP,21,148
158707,PATCHOGUE,22,120
146102,BAY SHORE,27,145
146706,BABYLON,29,202
145901,BAY SHORE,32,215
159512,EAST MORICHES,32,133
122405,DEER PARK,35,252
111504,HUNTINGTON STATION,36,171
158108,PORT JEFFERSON STATION,37,201
147503,EAST ISLIP,37,211
146704,BAY SHORE,40,193
158403,PORT JEFFERSON,41,192
146403,EAST ISLIP,41,209
146608,WEST SAYVILLE,41,243
124002,LINDENHURST,41,302
158506,SMITHTOWN,42,170
158205,PORT JEFFERSON,42,236
134903,SMITHTOWN,43,152
147601,EAST ISLIP,43,329
146205,BAY SHORE,44,221
146404,EAST ISLIP,44,217
169703,RIVERHEAD,46,272
123401,LINDENHURST,47,235
158512,SMITHTOWN,47,285
145605,BAY SHORE,48,236
190504,WESTHAMPTON BEACH,48,315
158203,PORT JEFFERSON STATION,49,373
159411,EAST MORICHES,49,187
122704,DEER PARK,49,190
111001,HUNTINGTON,50,285
159509,SHIRLEY,51,174
145603,BAY SHORE,52,263
146611,PATCHOGUE,53,254
122404,WEST BABYLON,53,243
122403,WYANDANCH,53,196
146202,BAY SHORE,54,259
146201,BAY SHORE,55,264
146001,BAY SHORE,55,254
146607,EAST ISLIP,55,270
145902,BAY SHORE,56,321
146002,BAY SHORE,57,231
158408,SHOREHAM,57,171
122300,MASSAPEQUA,58,263
112104,HUNTINGTON STATION,58,279
158110,PORT JEFFERSON STATION,59,272
111602,NORTHPORT,60,367
122705,DEER PARK,60,310
159201,PATCHOGUE,61,254
123201,AMITYVILLE,61,252
146203,BAY SHORE,61,351
122406,WYANDANCH,62,263
145702,BAY SHORE,62,329
158402,SHOREHAM,63,416
147402,BAY SHORE,63,464
158318,PORT JEFFERSON,63,362
146300,EAST ISLIP,64,322
145602,BAY SHORE,64,302
135403,SMITHTOWN,64,341
