TRACT,PCSA_City,Percent_Having_Visit,Beneficiary_Population
158007,PORT JEFFERSON STATION,14.1975,179
146106,BAY SHORE,55.3704,596
112104,HUNTINGTON STATION,56.7227,279
110101,HUNTINGTON,57.2165,490
159106,PATCHOGUE,58.3942,321
158319,PORT JEFFERSON STATION,58.7983,522
112103,SMITHTOWN,60.5974,815
146902,BAY SHORE,61.4203,598
158712,PATCHOGUE,61.5964,776
111001,HUNTINGTON,61.9048,285
111703,NORTHPORT,62.1027,468
110102,HUNTINGTON,62.5796,728
110300,HUNTINGTON,62.8831,1024
147701,WEST SAYVILLE,63.038,442
110502,HUNTINGTON,63.1268,395
190706,SOUTHAMPTON,63.2035,756
112102,HUNTINGTON STATION,63.5048,723
111505,HUNTINGTON STATION,63.6213,677
111401,HUNTINGTON STATION,63.7306,216
111300,HUNTINGTON,63.7306,678
111506,HUNTINGTON STATION,63.8365,366
145605,BAY SHORE,63.8614,236
159204,PATCHOGUE,63.9511,546
112002,HUNTINGTON STATION,64.0054,858
110200,HUNTINGTON,64.219,854
190402,WESTHAMPTON BEACH,64.7399,377
201100,BAY SHORE,64.8208,365
158606,PORT JEFFERSON STATION,64.978,530
110402,HUNTINGTON,65.0273,414
110801,NORTHPORT,65.6535,372
134904,SMITHTOWN,65.8391,1170
111701,NORTHPORT,66.2316,688
111704,EAST NORTHPORT,66.2577,549
158803,PATCHOGUE,66.3934,541
112204,HUNTINGTON STATION,66.4583,538
145804,SMITHTOWN,66.6667,321
112213,HUNTINGTON STATION,67.0886,560
111402,HUNTINGTON STATION,67.1186,669
134704,SMITHTOWN,67.2269,276
124401,BABYLON,67.2377,543
146201,BAY SHORE,67.2727,264
110401,HUNTINGTON,67.5355,484
134703,NORTHPORT,67.6289,561
110901,HUNTINGTON,67.7914,380
111202,HUNTINGTON STATION,68.0203,452
111602,NORTHPORT,68.125,367
110600,NORTHPORT,68.1377,1329
159509,SHIRLEY,68.1529,174
111504,HUNTINGTON STATION,68.1818,171
190708,EAST HAMPTON,68.2678,746
190707,SOUTHAMPTON,68.2853,705
110501,HUNTINGTON,68.3047,467
111601,NORTHPORT,68.3292,448
159408,SHIRLEY,68.3544,280
112212,HUNTINGTON STATION,68.9474,451
123701,AMITYVILLE,69.0691,430
111801,EAST NORTHPORT,69.0844,920
135005,SMITHTOWN,69.1315,933
159511,SHIRLEY,69.2308,357
111201,HUNTINGTON STATION,69.3617,276
124300,WEST BABYLON,69.5535,826
123301,AMITYVILLE,69.8565,494
158403,PORT JEFFERSON,69.8795,192
159404,SHIRLEY,69.9187,428
110902,HUNTINGTON STATION,69.9208,427
122502,BABYLON,70.068,330
111803,EAST NORTHPORT,70.3125,371
110803,NORTHPORT,70.547,803
111802,EAST NORTHPORT,70.5596,472
122403,WYANDANCH,70.6215,196
147802,WEST SAYVILLE,71.0794,542
159102,PATCHOGUE,71.0938,996
111503,HUNTINGTON STATION,71.0959,808
111100,HUNTINGTON STATION,71.116,530
112211,SMITHTOWN,71.1462,581
146003,BAY SHORE,71.189,754
112001,HUNTINGTON STATION,71.3693,537
111002,HUNTINGTON STATION,71.5068,406
146204,BAY SHORE,71.5909,315
190704,SOUTHAMPTON,71.6475,859
122704,DEER PARK,71.8563,190
146404,EAST ISLIP,72.043,217
159407,EAST MORICHES,72.3473,382
112206,HUNTINGTON STATION,72.4348,1284
111900,HUNTINGTON,72.4658,841
122501,WYANDANCH,72.5632,324
122406,WYANDANCH,72.6457,263
123702,AMITYVILLE,72.7569,729
159506,SHIRLEY,72.8111,509
123401,LINDENHURST,72.8643,235
158309,PORT JEFFERSON,72.9651,404
158408,SHOREHAM,72.973,171
159512,EAST MORICHES,72.973,133
145704,BAY SHORE,73.1527,495
146901,BABYLON,73.2252,548
159505,SHIRLEY,73.2877,504
112214,HUNTINGTON STATION,73.4242,1955
123500,AMITYVILLE,73.503,795
159107,PATCHOGUE,73.5632,405
146203,BAY SHORE,73.6434,351
158707,PATCHOGUE,73.7864,120
124002,LINDENHURST,73.8806,302
123202,AMITYVILLE,73.8869,928
158710,SHOREHAM,73.8938,271
112210,SMITHTOWN,73.895,840
158509,PORT JEFFERSON STATION,74.0072,331
159000,PATCHOGUE,74.0351,322
145903,BAY SHORE,74.1047,420
190800,SOUTHAMPTON,74.1436,996
145604,BAY SHORE,74.1722,537
111804,EAST NORTHPORT,74.5968,269
122404,WEST BABYLON,74.6479,243
146202,BAY SHORE,74.6544,259
124101,LINDENHURST,74.6988,394
145702,BAY SHORE,75.0,329
122300,MASSAPEQUA,75.1152,263
158608,SMITHTOWN,75.1613,361
159406,EAST MORICHES,75.1923,569
158708,PORT JEFFERSON,75.2212,264
122902,WEST BABYLON,75.3165,548
123802,AMITYVILLE,75.3731,313
158310,PORT JEFFERSON,75.4497,1028
158510,PORT JEFFERSON STATION,75.4569,466
158705,PORT JEFFERSON,75.5682,202
159508,SHIRLEY,75.6563,486
158103,PORT JEFFERSON STATION,75.6972,279
147200,BAY SHORE,75.7511,533
145603,BAY SHORE,75.7848,263
134702,SMITHTOWN,75.7895,928
145703,BAY SHORE,75.8007,312
146403,EAST ISLIP,75.8621,209
135401,SMITHTOWN,75.9342,782
123600,AMITYVILLE,76.0263,708
146001,BAY SHORE,76.1468,254
123900,LINDENHURST,76.178,424
135104,SMITHTOWN,76.2004,527
147804,WEST SAYVILLE,76.3014,821
159201,PATCHOGUE,76.3158,254
135102,SMITHTOWN,76.4,560
124602,BABYLON,76.4172,507
146102,BAY SHORE,76.4228,145
122706,DEER PARK,76.4706,374
122405,DEER PARK,76.6355,252
123801,AMITYVILLE,76.6885,514
124200,LINDENHURST,76.7123,612
145602,BAY SHORE,76.7176,302
135101,SMITHTOWN,76.7726,463
124102,LINDENHURST,76.7901,452
145807,SMITHTOWN,76.8,441
147401,BAY SHORE,76.8248,621
123101,BABYLON,76.8421,426
147502,EAST ISLIP,76.9841,689
122601,DEER PARK,77.0522,612
123001,WEST BABYLON,77.0601,526
158321,PORT JEFFERSON,77.0893,809
135003,SMITHTOWN,77.1784,535
135103,SMITHTOWN,77.2093,508
123002,WEST BABYLON,77.2358,424
122802,DEER PARK,77.2861,380
158604,SMITHTOWN,77.327,453
